State,Year,LOS_Mean,LOS_MeanViolent,LOS_MeanAllExceptViol,LOS_MeanTop10,LOS_MeanBottom90,LOS_10plus_Pct,LOS_10plus_Num
"AK",2005,2.773108,4.041577,1.570785,12.48107,1.727374,5.27559,134
"AK",2006,2.834269,4.217446,1.562524,12.36711,1.791806,5.35233,139
"AK",2007,2.739217,4.173376,1.425532,13.21879,1.831914,4.574914,120
"AK",2008,2.69878,4.231721,1.337356,11.86198,1.697379,4,108
"AK",2009,2.649939,4.217357,1.285482,11.96268,1.65366,3.427005,100
"AK",2010,2.953037,4.538523,1.419065,12.70087,1.972742,3.743119,102
"AK",2011,2.821166,4.424239,1.289481,12.45731,1.780678,6.597455,197
"AK",2012,2.929801,4.461625,1.350398,13.15034,1.926031,11.43617,344
"AK",2013,3.488881,5.139494,1.554985,13.6901,2.417158,13.26291,339
"AL",2007,4.007902,6.14482,1.961014,17.43613,2.529643,13.11625,3456
"AL",2008,4.021576,6.08564,1.972276,17.63706,2.524365,13.29842,3631
"AL",2009,4.125507,6.224304,1.9932,18.01229,2.601246,13.48862,3764
"AL",2010,4.40264,6.51578,2.138337,18.63622,2.847366,14.11285,3907
"AL",2011,4.616382,6.90547,2.198594,19.06604,3.012461,14.4096,4021
"AL",2012,4.876413,7.349292,2.304138,19.76517,3.237089,14.97381,4203
"AL",2013,5.149741,7.734543,2.400574,20.43472,3.464609,15.57696,4317
"AL",2014,5.474267,7.95419,2.583083,21.17679,3.738092,17.59427,4745
"AZ",2000,2.930033,4.291775,1.953963,11.38684,1.991578,5.491448,1204
"AZ",2001,2.934644,4.393875,1.902549,11.79622,1.960881,5.922483,1389
"AZ",2002,2.90743,4.468891,1.826614,12.14538,1.890074,6.249502,1568
"AZ",2003,2.820332,4.485648,1.746647,12.24046,1.780706,6.133967,1728
"AZ",2004,2.861822,4.558727,1.79145,12.41664,1.804446,6.397761,1943
"AZ",2005,2.933571,4.73184,1.821307,12.84756,1.856918,6.554849,2083
"AZ",2006,2.917962,4.772557,1.798552,12.99242,1.814064,6.411675,2201
"AZ",2007,2.975888,4.871513,1.835842,13.24784,1.840835,6.49615,2362
"AZ",2008,3.01459,4.916922,1.863527,13.48034,1.858247,6.656553,2545
"AZ",2009,3.098412,4.921299,1.938221,13.77825,1.912731,6.816168,2693
"AZ",2010,3.307633,5.087373,2.082692,14.46932,2.080219,7.392907,2908
"AZ",2011,3.483373,5.319233,2.183864,14.95248,2.216597,7.847682,3081
"AZ",2012,3.625312,5.525548,2.259907,15.44405,2.316021,8.28939,3254
"AZ",2013,3.638332,5.59025,2.240298,15.65098,2.318763,8.294393,3337
"AZ",2014,3.650733,5.666455,2.225519,15.75255,2.315989,8.258701,3412
"CA",1992,2.019436,3.221225,1.060671,9.736911,1.171884,3.680741,3948
"CA",1993,2.058283,3.307655,1.059345,10.11102,1.180688,4.135361,4849
"CA",1994,2.161478,3.481299,1.086174,10.63862,1.233477,4.650936,5712
"CA",1995,2.192116,3.636722,1.061073,10.98338,1.22767,4.927923,6543
"CA",1996,2.250688,3.740841,1.095617,11.26578,1.251206,5.158309,7377
"CA",1997,2.31533,3.846788,1.128505,11.70386,1.288684,5.39389,8254
"CA",1998,2.459907,4.034324,1.201814,12.18761,1.383243,5.742589,9078
"CA",1999,2.665253,4.30056,1.304784,12.88391,1.533212,6.176644,9862
"CA",2000,2.875903,4.576306,1.394712,13.59166,1.686521,6.669918,10668
"CA",2001,3.144324,4.867481,1.516107,14.51388,1.893291,7.440051,11666
"CA",2002,3.316007,5.077273,1.57537,15.1093,2.006435,8.146954,12986
"CA",2003,3.493352,5.354466,1.619791,15.82442,2.134511,8.856721,14323
"CA",2004,3.680278,5.619778,1.677129,16.57449,2.272097,9.589133,15693
"CA",2005,3.823178,5.885122,1.686949,17.20046,2.35828,10.85001,18187
"CA",2006,3.964724,6.094909,1.720647,17.75151,2.433976,12.40652,21352
"CA",2007,4.206211,6.358037,1.823248,18.59566,2.61514,14.14283,24279
"CA",2008,4.426269,6.570111,1.912266,19.43155,2.772869,15.75285,27004
"CA",2009,4.698647,6.782992,2.054128,20.21234,2.9759,17.34502,29311
"CA",2010,5.053053,7.0452,2.25863,21.16137,3.27943,18.87749,30789
